id;title;description/summary;price;base_price;discounted_price;QUANTITY;size;condition;status;is_featured;cat_id;subcat_id;childcat_id;brand_id;SKU;weight;lenght;height;widht;is_physical;warehouse;template;backorder;discount_option;SPH;DIA;CYL;AXIS;RAD;color;ADD;UPC;VTO;VTO_url;lens_option;gender_man;gender_woman;b2b_option;ek_price;discount;photo
;CTS2/3/9/55 REACH NUTS(PLASTIC);10000Stk.;226;226;;10;m;default;1;0;188;91;NULL;6;CTS2/3/9/55;;;;;yes;34;;enable;3;;;;;;;;123558;0;;0;0;0;1;;0;
;CTT-C07 PVC CAP ;10000Stk.;20;20;;10;m;default;1;0;188;91;NULL;6;CTT-C07;;;;;yes;34;;enable;3;;;;;;;;123559;0;;0;0;0;1;;0;
;52512/52514   NUTS  ;10000Stk.;248;248;;10;m;default;1;0;188;91;NULL;6;52512/52514;;;;;yes;34;;enable;3;;;;;;;;123560;0;;0;0;0;1;;0;
;7325012/7325014   NUTS ;10000Stk.;248;248;;10;m;default;1;0;188;91;NULL;6;7325012/7325014;;;;;yes;34;;enable;3;;;;;;;;123561;0;;0;0;0;1;;0;
;782212/782214/7824124/782414    CAPS ;10000Stk.;308;308;;10;m;default;1;0;188;91;NULL;6;782212/782214/7824124/782414;;;;;yes;34;;enable;3;;;;;;;;123562;0;;0;0;0;1;;0;
;12512F/12514F/13014F   WASHERS(PLASTIC);10000Stk.;30;30;;10;m;default;1;0;188;91;NULL;6;12512F/12514F/13014F;;;;;yes;34;;enable;3;;;;;;;;123563;0;;0;0;0;1;;0;
;10-181036  HINGE SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;10-181036;;;;;yes;34;;enable;3;;;;;;;;123564;0;;0;0;0;1;;0;
;10-181036-C HINGE SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;10-181036-C;;;;;yes;34;;enable;3;;;;;;;;123565;0;;0;0;0;1;;0;
;23-201440-B HINGE SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;23-201440-B;;;;;yes;34;;enable;3;;;;;;;;123566;0;;0;0;0;1;;0;
;10-181442  HINGE SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;10-181442;;;;;yes;34;;enable;3;;;;;;;;123567;0;;0;0;0;1;;0;
;10-181442-C HINGE SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;10-181442-C;;;;;yes;34;;enable;3;;;;;;;;123568;0;;0;0;0;1;;0;
;220-201443-B HINGE SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;220-201443-B;;;;;yes;34;;enable;3;;;;;;;;123569;0;;0;0;0;1;;0;
;10-181444  HINGE SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;10-181444;;;;;yes;34;;enable;3;;;;;;;;123570;0;;0;0;0;1;;0;
;10-181444-C HINGE SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;10-181444-C;;;;;yes;34;;enable;3;;;;;;;;123571;0;;0;0;0;1;;0;
;10-181450-B HINGE SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;10-181450-B;;;;;yes;34;;enable;3;;;;;;;;123572;0;;0;0;0;1;;0;
;10-181452 HINGE SCREWS;10000Stk.;288;288;;10;m;default;1;0;188;91;NULL;6;10-181452;;;;;yes;34;;enable;3;;;;;;;;123573;0;;0;0;0;1;;0;
;10-181452-C HINGE SCREWS;10000Stk.;50;50;;10;m;default;1;0;188;91;NULL;6;10-181452-C;;;;;yes;34;;enable;3;;;;;;;;123574;0;;0;0;0;1;;0;
;10-181460-B HINGE SCREWS;10000Stk.;110;110;;10;m;default;1;0;188;91;NULL;6;10-181460-B;;;;;yes;34;;enable;3;;;;;;;;123575;0;;0;0;0;1;;0;
;23-181465 HINGE SCREWS;10000Stk.;304;304;;10;m;default;1;0;188;91;NULL;6;23-181465;;;;;yes;34;;enable;3;;;;;;;;123576;0;;0;0;0;1;;0;
;23-181465-C HINGE SCREWS;10000Stk.;60;60;;10;m;default;1;0;188;91;NULL;6;23-181465-C;;;;;yes;34;;enable;3;;;;;;;;123577;0;;0;0;0;1;;0;
;13-201465-B HINGE SCREWS;10000Stk.;118;118;;10;m;default;1;0;188;91;NULL;6;13-201465-B;;;;;yes;34;;enable;3;;;;;;;;123578;0;;0;0;0;1;;0;
;10-1814106B  HINGE SCREWS-THREAD FINDER;10000Stk.;670;670;;10;m;default;1;0;188;91;NULL;6;10-1814106B;;;;;yes;34;;enable;3;;;;;;;;123579;0;;0;0;0;1;;0;
;10-1814116B  HINGE SCREWS-THREAD FINDER;10000Stk.;670;670;;10;m;default;1;0;188;91;NULL;6;10-1814116B;;;;;yes;34;;enable;3;;;;;;;;123580;0;;0;0;0;1;;0;
;13-181058B SPRING HINGE SCREWS;10000Stk.;354;354;;10;m;default;1;0;188;91;NULL;6;13-181058B;;;;;yes;34;;enable;3;;;;;;;;123581;0;;0;0;0;1;;0;
;13-141058B SPRING HINGE SCREWS;10000Stk.;354;354;;10;m;default;1;0;188;91;NULL;6;13-141058B;;;;;yes;34;;enable;3;;;;;;;;123582;0;;0;0;0;1;;0;
;10-181260B SPRING HINGE SCREWS;10000Stk.;354;354;;10;m;default;1;0;188;91;NULL;6;10-181260B;;;;;yes;34;;enable;3;;;;;;;;123583;0;;0;0;0;1;;0;
;13-201460B SPRING HINGE SCREWS;10000Stk.;354;354;;10;m;default;1;0;188;91;NULL;6;13-201460B;;;;;yes;34;;enable;3;;;;;;;;123584;0;;0;0;0;1;;0;
;13-201465B SPRING HINGE SCREWS;10000Stk.;386;386;;10;m;default;1;0;188;91;NULL;6;13-201465B;;;;;yes;34;;enable;3;;;;;;;;123585;0;;0;0;0;1;;0;
;13-201470B SPRING HINGE SCREWS;10000Stk.;386;386;;10;m;default;1;0;188;91;NULL;6;13-201470B;;;;;yes;34;;enable;3;;;;;;;;123586;0;;0;0;0;1;;0;
;13-201475B SPRING HINGE SCREWS;10000Stk.;416;416;;10;m;default;1;0;188;91;NULL;6;13-201475B;;;;;yes;34;;enable;3;;;;;;;;123587;0;;0;0;0;1;;0;
;10-181036 NOSE PAD SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;10-181036;;;;;yes;34;;enable;3;;;;;;;;123588;0;;0;0;0;1;;0;
;10-181036-C NOSE PAD SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;10-181036-C;;;;;yes;34;;enable;3;;;;;;;;123589;0;;0;0;0;1;;0;
;210-181038-B NOSE PAD SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;210-181038-B;;;;;yes;34;;enable;3;;;;;;;;123590;0;;0;0;0;1;;0;
;23-141040 NOSE PAD SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;23-141040;;;;;yes;34;;enable;3;;;;;;;;123591;0;;0;0;0;1;;0;
;23-141040-C NOSE PAD SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;23-141040-C;;;;;yes;34;;enable;3;;;;;;;;123592;0;;0;0;0;1;;0;
;13-141044-B NOSE PAD SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;13-141044-B;;;;;yes;34;;enable;3;;;;;;;;123593;0;;0;0;0;1;;0;
;10-181065B NOSE PAD SCREWS;10000Stk.;386;386;;10;m;default;1;0;188;91;NULL;6;10-181065B;;;;;yes;34;;enable;3;;;;;;;;123594;0;;0;0;0;1;;0;
;10-181235 NOSE PAD SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;10-181235;;;;;yes;34;;enable;3;;;;;;;;123595;0;;0;0;0;1;;0;
;10-181235-C NOSE PAD SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;10-181235-C;;;;;yes;34;;enable;3;;;;;;;;123596;0;;0;0;0;1;;0;
;20-1813115F SELF-CUTTING SCREWS WITH TRANSPARENT INSERT;10000Stk.;1940;1940;;10;m;default;1;0;188;91;NULL;6;20-1813115F;;;;;yes;34;;enable;3;;;;;;;;123597;0;;0;0;0;1;;0;
;20-1815115F SELF-CUTTING SCREWS WITH TRANSPARENT INSERT;10000Stk.;1940;1940;;10;m;default;1;0;188;91;NULL;6;20-1815115F;;;;;yes;34;;enable;3;;;;;;;;123598;0;;0;0;0;1;;0;
;13-161232-B RIMLOCK SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;13-161232-B;;;;;yes;34;;enable;3;;;;;;;;123599;0;;0;0;0;1;;0;
;13-161247 RIMLOCK SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;13-161247;;;;;yes;34;;enable;3;;;;;;;;123600;0;;0;0;0;1;;0;
;13-161247-C RIMLOCK SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;13-161247-C;;;;;yes;34;;enable;3;;;;;;;;123601;0;;0;0;0;1;;0;
;23-201435-B RIMLOCK SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;23-201435-B;;;;;yes;34;;enable;3;;;;;;;;123602;0;;0;0;0;1;;0;
;20-181439 RIMLOCK SCREWS;10000Stk.;236;236;;10;m;default;1;0;188;91;NULL;6;20-181439;;;;;yes;34;;enable;3;;;;;;;;123603;0;;0;0;0;1;;0;
;20-181439-C RIMLOCK SCREWS;10000Stk.;42;42;;10;m;default;1;0;188;91;NULL;6;20-181439-C;;;;;yes;34;;enable;3;;;;;;;;123604;0;;0;0;0;1;;0;
;13-181441-B RIMLOCK SCREWS;10000Stk.;90;90;;10;m;default;1;0;188;91;NULL;6;13-181441-B;;;;;yes;34;;enable;3;;;;;;;;123605;0;;0;0;0;1;;0;
;723-2512106 FRAMELESS SCREWS;10000Stk.;758;758;;10;m;default;1;0;188;91;NULL;6;723-2512106;;;;;yes;34;;enable;3;;;;;;;;123606;0;;0;0;0;1;;0;
;10-1812120  FRAMELESS SCREWS;10000Stk.;758;758;;10;m;default;1;0;188;91;NULL;6;10-1812120;;;;;yes;34;;enable;3;;;;;;;;123607;0;;0;0;0;1;;0;
;520-2512126 FRAMELESS SCREWS;10000Stk.;758;758;;10;m;default;1;0;188;91;NULL;6;520-2512126;;;;;yes;34;;enable;3;;;;;;;;123608;0;;0;0;0;1;;0;
;23-251480-B   FRAMELESS SCREWS;10000Stk.;146;146;;10;m;default;1;0;188;91;NULL;6;23-251480-B;;;;;yes;34;;enable;3;;;;;;;;123609;0;;0;0;0;1;;0;
;220-2814106  FRAMELESS SCREWS;10000Stk.;692;692;;10;m;default;1;0;188;91;NULL;6;220-2814106;;;;;yes;34;;enable;3;;;;;;;;123610;0;;0;0;0;1;;0;
;13-2514120  FRAMELESS SCREWS;10000Stk.;500;500;;10;m;default;1;0;188;91;NULL;6;13-2514120;;;;;yes;34;;enable;3;;;;;;;;123611;0;;0;0;0;1;;0;
;520-2514126 FRAMELESS SCREWS;10000Stk.;500;500;;10;m;default;1;0;188;91;NULL;6;520-2514126;;;;;yes;34;;enable;3;;;;;;;;123612;0;;0;0;0;1;;0;
;13-181443F LOCK SCREWS WITH PLASTIC RING;10000Stk.;2140;2140;;10;m;default;1;0;188;91;NULL;6;13-181443F;;;;;yes;34;;enable;3;;;;;;;;123613;0;;0;0;0;1;;0;
;13-181460F LOCK SCREWS WITH PLASTIC RING;10000Stk.;2140;2140;;10;m;default;1;0;188;91;NULL;6;13-181460F;;;;;yes;34;;enable;3;;;;;;;;123614;0;;0;0;0;1;;0;
;10-141041F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;388;388;;10;m;default;1;0;188;91;NULL;6;10-141041F;;;;;yes;34;;enable;3;;;;;;;;123615;0;;0;0;0;1;;0;
;13-201264F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;456;456;;10;m;default;1;0;188;91;NULL;6;13-201264F;;;;;yes;34;;enable;3;;;;;;;;123616;0;;0;0;0;1;;0;
;10-191438F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;388;388;;10;m;default;1;0;188;91;NULL;6;10-191438F;;;;;yes;34;;enable;3;;;;;;;;123617;0;;0;0;0;1;;0;
;10-201471BF LOCK SCREWS WITH PLASTIC COATING;10000Stk.;568;568;;10;m;default;1;0;188;91;NULL;6;10-201471BF;;;;;yes;34;;enable;3;;;;;;;;123618;0;;0;0;0;1;;0;
;13-201464F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;456;456;;10;m;default;1;0;188;91;NULL;6;13-201464F;;;;;yes;34;;enable;3;;;;;;;;123619;0;;0;0;0;1;;0;
;10-2514114F LOCK SCREWS WITH PLASTIC COATING;10000Stk.;652;652;;10;m;default;1;0;188;91;NULL;6;10-2514114F;;;;;yes;34;;enable;3;;;;;;;;123620;0;;0;0;0;1;;0;
;NUTS - GOLD & GUNMETAL COLOR(ADDITIONAL COST);10000Stk.;140;140;;10;m;default;1;0;188;91;NULL;6;NUTS;;;;;yes;34;;enable;3;;;;;;;;123621;0;;0;0;0;1;;0;
;SCREWS(LENGTH: ?5.0MM)- GOLD & GUNMETAL COLOR(ADDITIONAL COST);10000Stk.;140;140;;10;m;default;1;0;188;91;NULL;6;SCREWS;;;;;yes;34;;enable;3;;;;;;;;123622;0;;0;0;0;1;;0;
;SCREWS(LENGTH: 8.1~9.0MM)- GOLD & GUNMETAL COLOR(ADDITIONAL COST);10000Stk.;200;200;;10;m;default;1;0;188;91;NULL;6;SCREWS;;;;;yes;34;;enable;3;;;;;;;;123623;0;;0;0;0;1;;0;
